seed,variant,mode,split,level,n,window_s,auroc,avg_precision,balanced_acc,accuracy,sensitivity,specificity,f1,cohen_kappa
4,mixed_128,full,test,window,4186,30.0,0.6535,0.7381,0.5862,0.6242,0.7626,0.4099,0.7115,0.1795
4,mixed_128,full,test,subject,40,30.0,0.7,0.6843,0.6,0.6,0.85,0.35,0.68,0.2
4,mixed_128,full,val,window,4021,30.0,0.7265,0.8618,0.6708,0.7105,0.7616,0.58,0.7909,0.323
4,mixed_128,full,val,subject,40,30.0,0.7325,0.6883,0.675,0.675,0.8,0.55,0.7111,0.35
4,mixed_300,frozen,test,window,4186,30.0,0.5616,0.6421,0.5404,0.5788,0.7189,0.3618,0.6748,0.0837
4,mixed_300,frozen,test,subject,40,30.0,0.5425,0.5867,0.475,0.475,0.6,0.35,0.5333,-0.05
4,mixed_300,frozen,val,window,4021,30.0,0.6926,0.8418,0.6368,0.7108,0.8059,0.4677,0.8002,0.2767
4,mixed_300,frozen,val,subject,40,30.0,0.705,0.6416,0.6,0.6,0.85,0.35,0.68,0.2
4,mixed_300,full,test,window,4186,30.0,0.6872,0.771,0.5957,0.6593,0.8911,0.3002,0.7607,0.2112
4,mixed_300,full,test,subject,40,30.0,0.73,0.6992,0.575,0.575,0.95,0.2,0.6909,0.15
4,mixed_300,full,val,window,4021,30.0,0.7383,0.8752,0.6187,0.7374,0.89,0.3475,0.8297,0.2677
4,mixed_300,full,val,subject,40,30.0,0.7225,0.7183,0.575,0.575,0.9,0.25,0.6792,0.15
